ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2039-12-31,2.1558468643810627,1.6225851738634958,2.703027628968016,2.15584247739444,2.15585100094522,0.0,0.0,0.0,0.0,0.0,0.0,2.1558468643810627
2040-12-31,2.1872339037641155,1.6346183090557604,2.7517946252375363,2.187229157658822,2.187238299008701,0.0,0.0,0.0,0.0,0.0,0.0,2.1872339037641155
2041-12-31,2.2185351862089635,1.6454836047320474,2.8325131800533256,2.218530096755272,2.2185398511147056,0.0,0.0,0.0,0.0,0.0,0.0,2.2185351862089635
2042-12-31,2.2498364686538115,1.6801552585699642,2.7631577506056226,2.2498310875203,2.249841454558425,0.0,0.0,0.0,0.0,0.0,0.0,2.2498364686538115
2043-12-31,2.28113775109866,1.7180731420002833,2.8474303605853812,2.281131991786987,2.281143130837243,0.0,0.0,0.0,0.0,0.0,0.0,2.28113775109866
2044-12-31,2.3125247904817128,1.7299712702815515,2.8620970404622392,2.312518692494006,2.3125305570202688,0.0,0.0,0.0,0.0,0.0,0.0,2.3125247904817128
2045-12-31,2.343826072926561,1.7834895267178372,2.919660152689497,2.3438196405962315,2.3438323232054934,0.0,0.0,0.0,0.0,0.0,0.0,2.343826072926561
2046-12-31,2.375127355371409,1.7943140075065966,2.9095144108723447,2.3751204551339176,2.375133971905256,0.0,0.0,0.0,0.0,0.0,0.0,2.375127355371409
2047-12-31,2.406428637816257,1.8512781254955577,2.939344280567045,2.4064214261211365,2.4064356391884827,0.0,0.0,0.0,0.0,0.0,0.0,2.406428637816257
2048-12-31,2.4378156771993105,1.8352272612455622,2.986012547656392,2.4378081496608295,2.4378230084680443,0.0,0.0,0.0,0.0,0.0,0.0,2.4378156771993105
2049-12-31,2.4691169596441584,1.9311595257644318,3.0078974281402697,2.4691091232101448,2.469124647902171,0.0,0.0,0.0,0.0,0.0,0.0,2.4691169596441584
